CPI for All Urban Consumers (CPI-U),,,,,
12-Month Percent Change,,,,,
,,,,,
Series Id:,CUUR0000SA0L1E,,,,
Not Seasonally Adjusted,,,,,
Series Title:,"All items less food and energy in U.S. city average, all urban consumers, not seasonally adjusted",,,,
Area:,U.S. city average,,,,
Item:,All items less food and energy,,,,
Base Period:,1982-84=100,,,,
Years:,2010 to 2022,,,,
,,,,,
Series ID,Year,Period,Value,,
CUUR0000SA0L1E,2010,M01,1.6,,
CUUR0000SA0L1E,2010,M02,1.3,,
CUUR0000SA0L1E,2010,M03,1.1,,
CUUR0000SA0L1E,2010,M04,0.9,,
CUUR0000SA0L1E,2010,M05,0.9,,
CUUR0000SA0L1E,2010,M06,0.9,,
CUUR0000SA0L1E,2010,M07,0.9,,
CUUR0000SA0L1E,2010,M08,0.9,,
CUUR0000SA0L1E,2010,M09,0.8,,
CUUR0000SA0L1E,2010,M10,0.6,,
CUUR0000SA0L1E,2010,M11,0.8,,
CUUR0000SA0L1E,2010,M12,0.8,,
CUUR0000SA0L1E,2010,S01,1.1,,
CUUR0000SA0L1E,2010,S02,0.8,,
CUUR0000SA0L1E,2011,M01,1.0,,
CUUR0000SA0L1E,2011,M02,1.1,,
CUUR0000SA0L1E,2011,M03,1.2,,
CUUR0000SA0L1E,2011,M04,1.3,,
CUUR0000SA0L1E,2011,M05,1.5,,
CUUR0000SA0L1E,2011,M06,1.6,,
CUUR0000SA0L1E,2011,M07,1.8,,
CUUR0000SA0L1E,2011,M08,2.0,,
CUUR0000SA0L1E,2011,M09,2.0,,
CUUR0000SA0L1E,2011,M10,2.1,,
CUUR0000SA0L1E,2011,M11,2.2,,
CUUR0000SA0L1E,2011,M12,2.2,,
CUUR0000SA0L1E,2011,S01,1.3,,
CUUR0000SA0L1E,2011,S02,2.0,,
CUUR0000SA0L1E,2012,M01,2.3,,
CUUR0000SA0L1E,2012,M02,2.2,,
CUUR0000SA0L1E,2012,M03,2.3,,
CUUR0000SA0L1E,2012,M04,2.3,,
CUUR0000SA0L1E,2012,M05,2.3,,
CUUR0000SA0L1E,2012,M06,2.2,,
CUUR0000SA0L1E,2012,M07,2.1,,
CUUR0000SA0L1E,2012,M08,1.9,,
CUUR0000SA0L1E,2012,M09,2.0,,
CUUR0000SA0L1E,2012,M10,2.0,,
CUUR0000SA0L1E,2012,M11,1.9,,
CUUR0000SA0L1E,2012,M12,1.9,,
CUUR0000SA0L1E,2012,S01,2.2,,
CUUR0000SA0L1E,2012,S02,2.0,,
CUUR0000SA0L1E,2013,M01,1.9,,
CUUR0000SA0L1E,2013,M02,2.0,,
CUUR0000SA0L1E,2013,M03,1.9,,
CUUR0000SA0L1E,2013,M04,1.7,,
CUUR0000SA0L1E,2013,M05,1.7,,
CUUR0000SA0L1E,2013,M06,1.6,,
CUUR0000SA0L1E,2013,M07,1.7,,
CUUR0000SA0L1E,2013,M08,1.8,,
CUUR0000SA0L1E,2013,M09,1.7,,
CUUR0000SA0L1E,2013,M10,1.7,,
CUUR0000SA0L1E,2013,M11,1.7,,
CUUR0000SA0L1E,2013,M12,1.7,,
CUUR0000SA0L1E,2013,S01,1.8,,
CUUR0000SA0L1E,2013,S02,1.7,,
CUUR0000SA0L1E,2014,M01,1.6,,
CUUR0000SA0L1E,2014,M02,1.6,,
CUUR0000SA0L1E,2014,M03,1.7,,
CUUR0000SA0L1E,2014,M04,1.8,,
CUUR0000SA0L1E,2014,M05,2.0,,
CUUR0000SA0L1E,2014,M06,1.9,,
CUUR0000SA0L1E,2014,M07,1.9,,
CUUR0000SA0L1E,2014,M08,1.7,,
CUUR0000SA0L1E,2014,M09,1.7,,
CUUR0000SA0L1E,2014,M10,1.8,,
CUUR0000SA0L1E,2014,M11,1.7,,
CUUR0000SA0L1E,2014,M12,1.6,,
CUUR0000SA0L1E,2014,S01,1.8,,
CUUR0000SA0L1E,2014,S02,1.7,,
CUUR0000SA0L1E,2015,M01,1.6,,
CUUR0000SA0L1E,2015,M02,1.7,,
CUUR0000SA0L1E,2015,M03,1.8,,
CUUR0000SA0L1E,2015,M04,1.8,,
CUUR0000SA0L1E,2015,M05,1.7,,
CUUR0000SA0L1E,2015,M06,1.8,,
CUUR0000SA0L1E,2015,M07,1.8,,
CUUR0000SA0L1E,2015,M08,1.8,,
CUUR0000SA0L1E,2015,M09,1.9,,
CUUR0000SA0L1E,2015,M10,1.9,,
CUUR0000SA0L1E,2015,M11,2.0,,
CUUR0000SA0L1E,2015,M12,2.1,,
CUUR0000SA0L1E,2015,S01,1.7,,
CUUR0000SA0L1E,2015,S02,1.9,,
CUUR0000SA0L1E,2016,M01,2.2,,
CUUR0000SA0L1E,2016,M02,2.3,,
CUUR0000SA0L1E,2016,M03,2.2,,
CUUR0000SA0L1E,2016,M04,2.1,,
CUUR0000SA0L1E,2016,M05,2.2,,
CUUR0000SA0L1E,2016,M06,2.2,,
CUUR0000SA0L1E,2016,M07,2.2,,
CUUR0000SA0L1E,2016,M08,2.3,,
CUUR0000SA0L1E,2016,M09,2.2,,
CUUR0000SA0L1E,2016,M10,2.1,,
CUUR0000SA0L1E,2016,M11,2.1,,
CUUR0000SA0L1E,2016,M12,2.2,,
CUUR0000SA0L1E,2016,S01,2.2,,
CUUR0000SA0L1E,2016,S02,2.2,,
CUUR0000SA0L1E,2017,M01,2.3,,
CUUR0000SA0L1E,2017,M02,2.2,,
CUUR0000SA0L1E,2017,M03,2.0,,
CUUR0000SA0L1E,2017,M04,1.9,,
CUUR0000SA0L1E,2017,M05,1.7,,
CUUR0000SA0L1E,2017,M06,1.7,,
CUUR0000SA0L1E,2017,M07,1.7,,
CUUR0000SA0L1E,2017,M08,1.7,,
CUUR0000SA0L1E,2017,M09,1.7,,
CUUR0000SA0L1E,2017,M10,1.8,,
CUUR0000SA0L1E,2017,M11,1.7,,
CUUR0000SA0L1E,2017,M12,1.8,,
CUUR0000SA0L1E,2017,S01,2.0,,
CUUR0000SA0L1E,2017,S02,1.7,,
CUUR0000SA0L1E,2018,M01,1.8,,
CUUR0000SA0L1E,2018,M02,1.8,,
CUUR0000SA0L1E,2018,M03,2.1,,
CUUR0000SA0L1E,2018,M04,2.1,,
CUUR0000SA0L1E,2018,M05,2.2,,
CUUR0000SA0L1E,2018,M06,2.3,,
CUUR0000SA0L1E,2018,M07,2.4,,
CUUR0000SA0L1E,2018,M08,2.2,,
CUUR0000SA0L1E,2018,M09,2.2,,
CUUR0000SA0L1E,2018,M10,2.1,,
CUUR0000SA0L1E,2018,M11,2.2,,
CUUR0000SA0L1E,2018,M12,2.2,,
CUUR0000SA0L1E,2018,S01,2.1,,
CUUR0000SA0L1E,2018,S02,2.2,,
CUUR0000SA0L1E,2019,M01,2.2,,
CUUR0000SA0L1E,2019,M02,2.1,,
CUUR0000SA0L1E,2019,M03,2.0,,
CUUR0000SA0L1E,2019,M04,2.1,,
CUUR0000SA0L1E,2019,M05,2.0,,
CUUR0000SA0L1E,2019,M06,2.1,,
CUUR0000SA0L1E,2019,M07,2.2,,
CUUR0000SA0L1E,2019,M08,2.4,,
CUUR0000SA0L1E,2019,M09,2.4,,
CUUR0000SA0L1E,2019,M10,2.3,,
CUUR0000SA0L1E,2019,M11,2.3,,
CUUR0000SA0L1E,2019,M12,2.3,,
CUUR0000SA0L1E,2019,S01,2.1,,
CUUR0000SA0L1E,2019,S02,2.3,,
CUUR0000SA0L1E,2020,M01,2.3,,
CUUR0000SA0L1E,2020,M02,2.4,,
CUUR0000SA0L1E,2020,M03,2.1,,
CUUR0000SA0L1E,2020,M04,1.4,,
CUUR0000SA0L1E,2020,M05,1.2,,
CUUR0000SA0L1E,2020,M06,1.2,,
CUUR0000SA0L1E,2020,M07,1.6,,
CUUR0000SA0L1E,2020,M08,1.7,,
CUUR0000SA0L1E,2020,M09,1.7,,
CUUR0000SA0L1E,2020,M10,1.6,,
CUUR0000SA0L1E,2020,M11,1.6,,
CUUR0000SA0L1E,2020,M12,1.6,,
CUUR0000SA0L1E,2020,S01,1.8,,
CUUR0000SA0L1E,2020,S02,1.6,,
CUUR0000SA0L1E,2021,M01,1.4,,
CUUR0000SA0L1E,2021,M02,1.3,,
CUUR0000SA0L1E,2021,M03,1.6,,
CUUR0000SA0L1E,2021,M04,3.0,,
CUUR0000SA0L1E,2021,M05,3.8,,
CUUR0000SA0L1E,2021,M06,4.5,,
CUUR0000SA0L1E,2021,M07,4.3,,
CUUR0000SA0L1E,2021,M08,4.0,,
CUUR0000SA0L1E,2021,M09,4.0,,
CUUR0000SA0L1E,2021,M10,4.6,,
CUUR0000SA0L1E,2021,M11,4.9,,
CUUR0000SA0L1E,2021,M12,5.5,,
CUUR0000SA0L1E,2021,S01,2.6,,
CUUR0000SA0L1E,2021,S02,4.5,,
CUUR0000SA0L1E,2022,M01,6.0,,
CUUR0000SA0L1E,2022,M02,6.4,,
CUUR0000SA0L1E,2022,M03,6.5,,
CUUR0000SA0L1E,2022,M04,6.2,,
CUUR0000SA0L1E,2022,M05,6.0,,
CUUR0000SA0L1E,2022,M06,5.9,,
CUUR0000SA0L1E,2022,M07,5.9,,
CUUR0000SA0L1E,2022,M08,6.3,,
CUUR0000SA0L1E,2022,M09,6.6,,
CUUR0000SA0L1E,2022,M10,6.3,,
CUUR0000SA0L1E,2022,S01,6.2,,
